ID	skillID	Level	Name	gdp	time	tool	cost	award	exp
4302	4	3	ÈË²Î	1,2,5,1	25	75	150	80,120	600
4303	4	3	ÐÜµ¨	1,2,6,1	25	75	150	80,120	600
4401	4	4	³æ²Ý	2,130,24,1	30	75	150	40,80	0
4402	4	4	ºÎÊ×ÎÚ	2,130,25,1	30	75	150	40,80	0
4403	4	4	ÌìÂé	2,130,26,1	30	75	150	40,80	0
5101	5	1	Refined Iron	2,2,1,1	15	50	100	200,300	100
5102	5	1	Hundred-Forged Steel	2,2,2,1	15	50	100	200,300	100
5103	5	1	Black Gold Stone	2,8,5,1	15	50	100	200,300	100
5104	5	1	×Ï½ð	2,2,3,1	15	50	100	200,300	100
5105	5	1	ÖìÉ°	2,2,30,1	15	50	100	200,300	100
5201	5	2	Cold Iron	2,2,4,1	20	60	120	120,200	400
5202	5	2	Taibai Refined Gold	2,2,5,1	20	60	120	120,200	400
5203	5	2	Black Iron	2,2,6,1	20	60	120	120,200	400
5204	5	2	Sky-Blue Stone	2,2,36,1	20	60	120	120,200	400
5205	5	2	µ¤ÐÄÉ°	2,2,31,1	20	60	120	120,200	400
5206	5	2	±ÌÑªÉ°	2,2,32,1	20	60	120	120,200	400
5301	5	3	ÐþÊ¯	2,8,7,1	25	75	150	80,120	600
5302	5	3	Black Onyx Stone	2,2,37,1	25	75	150	80,120	600
5303	5	3	³àÌú	2,2,38,1	25	75	150	80,120	600
5304	5	3	ÔÆÄ¸	2,2,39,1	25	75	150	80,120	600
5305	5	3	ÌìÁéÉ°	2,2,106,1	25	75	150	80,120	600
5401	5	4	×ÏÊ¯Ó¢	2,130,16,1	30	75	150	40,80	0
5402	5	4	ï¯Ê¯	2,2,40,1	30	75	150	40,80	0
5403	5	4	´ß»êÉ°	2,130,17,1	30	75	150	40,80	0
6101	6	1	öÔÓã	1,3,3,1	15	50	100	200,300	100
6102	6	1	ÀðÓã	2,130,1,1	15	50	100	200,300	100
6103	6	1	¹ðÓã	2,130,2,1	15	50	100	200,300	100
6104	6	1	°×ÕäÖé	2,130,3,1	15	50	100	200,300	100
6201	6	2	öóÓã	2,130,4,1	20	60	120	120,200	400
6202	6	2	ºÚÓã	2,130,5,1	20	60	120	120,200	400
6203	6	2	öêÓã	2,130,6,1	20	60	120	120,200	400
6204	6	2	ºÚÕäÖé	2,130,7,1	20	60	120	120,200	400
6301	6	3	»ÆÓã	2,130,8,1	25	75	150	80,120	600
6302	6	3	Ð·	2,130,9,1	25	75	150	80,120	600
6303	6	3	Ïº	2,130,10,1	25	75	150	80,120	600
6304	6	3	ºÓëà	2,130,11,1	25	75	150	80,120	600
6401	6	4	öãÓã	2,130,12,1	30	75	150	40,80	0
6402	6	4	ºìÉºº÷Öé	2,130,13,1	30	75	150	40,80	0
6403	6	4	À¶Éºº÷Öé	2,130,14,1	30	75	150	40,80	0
