 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
HÂ Ly	0	2	2	855	10	17	10	10	720	∫¸¿Í	ø’ ÷	155	100	20	52;64	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate005.ini	1	20	52	52	28	0									
Ng©n HÂ	0	2	2	4350	12	17	10	10	900	“¯∫¸	ø’ ÷	426	100	50	140;194	0;0	10	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate006.ini	1	41	154	154	18	0									
S„i Æi™n	0	4	4	1996	5	17	10	10	720	∂ˆ¿«	ø’ ÷	283	100	0	90;106	0;0	10	19	8	10	9	300	5	18	701	2	100										\settings\droprate\npcdroprate007.ini	1	30	78	78	27	0									
∏c Lang	0	0	0	1000	5	17	10	10	720	∂Ò¿«	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Nh÷n	0	2	2	2059	5	17	10	10	720	÷©÷Î	ø’ ÷	310	100	0	106;118	0;0	10	21	8	11	8	300	2	18	701	2	90	600	17	10							\settings\droprate\npcdroprate008.ini	1	32	87	87	27	0									
Nh÷n Æ·	0	0	0	1000	5	17	10	10	720	∫Ï√´÷©÷Î	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Nh÷n træng	0	0	0	1000	5	17	10	10	720	∞◊√´÷©÷Î	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Bﬂ cπp	0	2	2	3355	5	17	10	10	720	ÃÏ–´	ø’ ÷	371	100	40	120;146	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate009.ini	1	37	115	115	27	0									
Bﬂ cπp n≠Ìc	0	0	0	1000	5	17	10	10	720	∫£–´	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi’t Gi∏p	0	0	0	176	8	17	10	10	540	Ã˙º◊	ø’ ÷	61	100	0	8;12	0;0	0	5	2	3	3	300	2	36	701	2	100										\settings\droprate\npcdroprate010.ini	1	10	17	17	24	0									
Kim Gi∏p	0	5	5	10740	12	17	10	10	1080	Ωº◊	ø’ ÷	810	100	120	350;416	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate011.ini	1	68	752	752	18	0									
HÊ	0	0	0	1201	12	17	10	10	720	¿œª¢	ø’ ÷	205	100	15	65;77	0;0	0	13	5	7	6	300	2	27	701	2	100										\settings\droprate\npcdroprate012.ini	1	24	58	58	37	0									
HÊ træng	0	0	0	1000	5	17	10	10	720	∞◊ª¢	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
G u x∏m	0	0	0	6638	8	17	10	10	900	ª“–‹	ø’ ÷	654	100	95	272;304	0;0	10	88	52	16	16	300	5	9	701	2	90	602	3	10							\settings\droprate\npcdroprate014.ini	1	56	405	405	29	0									
G u Æi™n	0	0	0	1000	5	17	10	10	720	∑Ë–‹	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C„c1	0	3	3	3055	5	17	10	10	720	Û∏Ú‹1	ø’ ÷	345	100	40	100;146	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate015.ini	1	35	102	102	27	0									
C„c2	0	0	0	1000	5	17	10	10	720	Û∏Ú‹2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
D¨i	0	0	0	699	10	17	10	10	540	Ú˘Ú	ø’ ÷	134	100	20	0;0	42;54	0	14	0	8	30	300	3	27	703	2	90	613	2	10							\settings\droprate\npcdroprate016.ini	1	18	48	48	19	0									
D¨i hÛt m∏u	0	4	4	1934	12	17	10	10	720	Œ¸—™Ú˘Ú	ø’ ÷	359	100	75	121;133	0;0	10	30	12	16	60	300	3	18	701	2	90	614	4	10							\settings\droprate\npcdroprate017.ini	1	36	108	108	28	0									
V≠Ón to	0	0	0	1000	5	17	10	10	720	æﬁ‘≥	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
V≠Ón to2	0	0	0	1000	5	17	10	10	720	æﬁ‘≥2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C∏ s u1	0	3	3	2755	5	17	10	10	720	 ≥»Àˆ˘1	ø’ ÷	320	100	40	110;118	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate020.ini	1	33	91	91	27	0									
C∏ s u2	0	3	3	40155	5	17	10	10	1080	 ≥»Àˆ˘2	ø’ ÷	1180	100	300	700;884	0;0	0	0	0	0	0	300	5	9	701	2	80	602	5	20								1	92	1830	1830	18	0									
ßÈt ¶ng	0	0	0	1000	5	17	10	10	720	Õª”•	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Bπch ßi™u	0	2	2	1992	12	17	10	10	720	∞◊µÒ	ø’ ÷	283	100	30	90;106	0;0	10	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate023.ini	1	30	78	78	27	0									
Nh∑n k›nh xµ	0	3	3	2518	10	17	10	10	720	—€æ¶…ﬂ	ø’ ÷	371	100	28	124;142	0;0	10	23	8	12	8	300	2	18	600	3	100										\settings\droprate\npcdroprate024.ini	1	37	115	115	28	0									
Tu Xµ	0	0	0	1000	5	17	10	10	720	–ﬁ…ﬂ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Quπ ßen	0	2	2	1949	12	17	10	10	720	∫⁄—ª	ø’ ÷	298	100	30	96;116	0;0	10	24	10	13	12	300	5	18	701	2	100										\settings\droprate\npcdroprate025.ini	1	31	84	84	23	0									
Quπ Træng	0	0	0	1000	5	17	10	10	720	∞◊—ª	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
L≠u Manh	0	0	0	128	8	17	10	10	540	¡˜√•	ø’ ÷	50	100	0	5;9	0;0	5	5	3	0	2	300	4	36	701	2	100										\settings\droprate\npcdroprate026.ini	1	8	10	10	23	0									
Du C´n	0	0	0	1000	5	17	10	10	720	µÿ∆¶	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C´n ÆÂ	0	0	0	144	8	17	10	10	540	Œﬁ¿µ	ø’ ÷	60	100	0	6;10	0;0	5	4	3	0	4	300	4	36	701	2	100										\settings\droprate\npcdroprate027.ini	1	9	13	13	33	0									
HÁn HÁn	0	0	0	1000	5	17	10	10	720	ªÏªÏ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
S¨n t∆c	0	5	5	2353	8	17	10	10	720	…Ω‘Ù	ø’ ÷	345	100	26	110;136	0;0	10	52	20	27	10	300	6	18	701	2	100										\settings\droprate\npcdroprate028.ini	1	35	102	102	27	0									
L∑ng nh©n	0	0	0	1000	5	17	10	10	720	¿À»À	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ßao phÿ	0	0	0	1000	5	17	10	10	720	µ∂∑À	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
C´n phÿ	0	0	0	1000	5	17	10	10	720	π˜∑À	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Th≠¨ng phÿ	0	0	0	1000	5	17	10	10	720	«π∑À	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ti‘n phÿ	0	0	0	1000	5	17	10	10	720	º˝∑À	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Th∂o Kh u	0	1	1	1705	5	17	10	10	720	≤›ø‹	ø’ ÷	233	100	25	66;86	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate032.ini	1	26	63	63	27	0									
M∑ng Kh u	0	5	5	7131	7	17	10	10	900	√ßø‹	ø’ ÷	638	100	90	250;310	0;0	10	30	30	10	10	300	5	9	701	2	100										\settings\droprate\npcdroprate033.ini	1	55	381	381	25	0									
CÔng Kh u	0	0	0	1000	5	17	10	10	720	«Óø‹	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
L≠u Kh u	0	4	4	7270	5	17	10	10	900	¡˜ø‹	ø’ ÷	704	100	100	300;324	0;0	10	46	14	24	35	300	5	9	701	2	100										\settings\droprate\npcdroprate034.ini	1	59	497	497	36	0									
Qu˚ Thi’t	0	0	0	1000	5	17	10	10	720	πÌ«‘	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Minh Th©u	0	0	0	732	12	17	10	10	540	⁄§Õµ	ø’ ÷	180	100	40	40;56	0;0	5	9	2	5	3	300	4	27	702	2	100										\settings\droprate\npcdroprate035.ini	1	18	48	35	48	0									
NgÙy ßπo	0	0	0	1000	5	17	10	10	720	πÓµ¡	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
∏m T∆c	0	0	0	1007	8	17	10	10	720	∞µ‘Ù	ø’ ÷	240	100	40	60;70	0;0	10	24	8	13	4	300	4	9	705	2	100										\settings\droprate\npcdroprate036.ini	1	22	55	55	44	0									
Ki’m Kh∏ch	0	0	0	1000	5	17	10	10	720	Ω£øÕ	ø’ ÷	70	100	100	100	100					100	300	5	27	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ki’m kh∏ch trung c p	0	0	0	1000	5	17	10	10	720	÷–º∂Ω£øÕ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
L∑ng Ki’m Kh∏ch	0	0	0	1000	5	17	10	10	720	¿ÀΩ£øÕ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ßao Kh∏ch	0	0	0	2315	12	17	10	10	720	µ∂øÕ	ø’ ÷	396	100	50	124;166	0;0	10	31	15	16	18	300	5	18	701	2	100										\settings\droprate\npcdroprate040.ini	1	39	136	136	15	0									
ßao kh∏ch trung c p	0	0	0	1000	5	17	10	10	720	÷–º∂µ∂øÕ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	18	0									
ß∑ng ßao Kh∏ch	0	5	5	4695	8	17	10	10	720	µ¥µ∂øÕ	ø’ ÷	511	100	76	190;220	0;0	10	36	38	19	14	300	5	9	701	2	90	615	5	10							\settings\droprate\npcdroprate041.ini	1	47	230	230	18	0									
Th≠¨ng Kh∏ch	0	0	0	689	8	17	10	10	540	«πøÕ	ø’ ÷	134	100	20	42;54	0;0	10	14	4	8	4	300	6	9	701	2	100										\settings\droprate\npcdroprate042.ini	1	18	48	48	30	0									
Th≠¨ng kh∏ch trung c p	0	4	4	2489	10	17	10	10	720	÷–º∂«πøÕ	ø’ ÷	359	100	27	105;127	0;0	10	22	8	100	12	300	6	18	701	2	100										\settings\droprate\npcdroprate043.ini	1	36	108	108	20	0									
Kim Th≠¨ng Kh∏ch	0	0	0	1000	5	17	10	10	720	Ω«πøÕ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Th›ch Kh∏ch1	0	1	1	3908	16	17	10	10	900	¥ÃøÕ1	ø’ ÷	770	100	60	168;220	0;0	10	33	15	17	42	300	6	9	702	2	100										\settings\droprate\npcdroprate044.ini	1	45	199	199	23	0									
Th›ch Kh∏ch2	0	5	5	3790	16	17	10	10	900	¥ÃøÕ2	ø’ ÷	410	100	120	130;178	0;0	10	34	0	18	45	300	5	18	701	2	100										\settings\droprate\npcdroprate045.ini	1	40	146	146	35	0									
Phi Tr∂o	0	0	0	1000	5	17	10	10	720	∑…◊¶	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
∏m Cung	0	0	0	1000	5	17	10	10	720	∞µπ≠	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Thi’t C©u	0	0	0	1000	5	17	10	10	720	Ã˙π≥	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
B∏ch NhÀt Ti‘n	0	0	0	538	5	17	10	10	540	∞Ÿ»’º˝	ø’ ÷	194	100	0	23;29	0;0	5	8	3	5	3	300	5	27	705	2	100										\settings\droprate\npcdroprate046.ini	1	15	38	38	22	0									
Thi™n L˝ Ti™u	0	1	1	2666	8	17	10	10	720	«ß¿ÔÔ⁄	ø’ ÷	570	100	30	161;199	0;0	10	24	4	13	8	300	5	18	30147	2	100										\settings\droprate\npcdroprate047.ini	1	38	127	127	44	0									
V‚ Tﬂng	0	0	0	240000	8	6	10	10	64800	Œ‰À…	ø’ ÷	750	100	200	890;1062	0;0	10	30	60	16	70	300	5	9	612	10	60	615	10	20	623	20	20				\settings\droprate\npcdroprate048.ini	10	60	6900	6900	21	2			\settings\npc\boss_setting\Œ‰À….ini						
ß«u ßµ2	0	0	0	1000	5	17	10	10	720	Õ∑Õ”2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
ß«u ßµ3	0	0	0	1000	5	17	10	10	720	Õ∑Õ”3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
LÁ Tr› Th©m	0	0	0	280000	5	9	10	10	64800	¬≥÷«…Ó	ø’ ÷	750	100	90	1300;1560	0;0	10	30	65	300	45	300	5	9	621	14	40	622	14	30	623	14	30	618	20	0	\settings\droprate\npcdroprate050.ini	10	60	5700	5700	15	2									
∏c T®ng	0	0	0	1000	5	17	10	10	720	∂Ò…Æ	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Tµ T®ng	0	1	1	3250	8	17	10	10	900	–∞…Æ	ø’ ÷	484	100	50	0;0	162;222	10	82	25	76	55	300	5	9	704	2	100										\settings\droprate\npcdroprate052.ini	1	45	199	199	27	0									
T∂ hÈ ph∏p	0	0	0	14500	12	17	10	10	720	√˜ΩÃ◊Ûª§∑®	ø’ ÷	826	100	100	490;532	100						300	5	9	701	2	100										\settings\droprate\npcdropratexb001.ini	1	65	786	786	36	0									
HÂng bµo s¯ gi∂1	0	0	0	1000	5	17	10	10	720	∫Ï≈€ π’ﬂ1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
HÂng bµo s¯ gi∂2	0	0	0	1000	5	17	10	10	720	∫Ï≈€ π’ﬂ2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
HÂng bµo s¯ gi∂3	0	0	0	12875	12	17	10	10	720	∫Ï≈€ π’ﬂ3	ø’ ÷	878	1498	100	300;458	0;0						300	5	9	702	2	100										\settings\droprate\npcdropratexb002.ini	1	65	900	900	36	0									
H˜u hÈ ph∏p	0	0	0	18200	12	17	10	10	720	√˜ΩÃ”“ª§∑®	ø’ ÷	993	100	100	570;606	570;606						300	5	9	701	2	100										\settings\droprate\npcdropratexb003.ini	1	68	1080	1080	36	0									
Hæc bµo s¯ gi∂1	0	0	0	24000	12	17	10	10	720	∫⁄≈€ π’ﬂ1	ø’ ÷	1073	100	100	650;748	650;748						300	5	9	701	2	100										\settings\droprate\npcdropratexb004.ini	1	68	1100	1100	36	0									
Hæc bµo s¯ gi∂2	0	0	0	1000	5	17	10	10	720	∫⁄≈€ π’ﬂ2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Hæc bµo s¯ gi∂3	0	0	0	1000	5	17	10	10	720	∫⁄≈€ π’ﬂ3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Nam Æ÷ tˆ1	0	0	0	17210	12	17	10	10	540	√˜ΩÃƒ–µ‹◊”1	ø’ ÷	1041	100	0	620;660	620;660						300	5	9	701	2	100										\settings\droprate\npcdropratexb007.ini	1	69	1165	1165	23	0									
Nam Æ÷ tˆ2	0	0	0	19200	12	17	10	10	540	√˜ΩÃƒ–µ‹◊”2	ø’ ÷	1086	100	0	660;707	660;707						300	5	9	701	2	100										\settings\droprate\npcdropratexb008.ini	1	69	1200	1200	23	0									
Nam Æ÷ tˆ3	0	0	0	1000	5	17	10	10	720	√˜ΩÃƒ–µ‹◊”3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
N˜ Æ÷ tˆ1	0	0	0	1000	5	17	10	10	720	√˜ΩÃ≈Æµ‹◊”1	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
N˜ Æ÷ tˆ2	0	0	0	1000	5	17	10	10	720	√˜ΩÃ≈Æµ‹◊”2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
N˜ Æ÷ tˆ3	0	0	0	1000	5	17	10	10	720	√˜ΩÃ≈Æµ‹◊”3	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Oa Kh u1	0	0	0	14775	5	17	10	10	1080	Ÿ¡ø‹1	ø’ ÷	923	100	120	490;532	0;0	0	0	0	20	30	300	5	9	701	2	80	610	6	20							\settings\droprate\npcdroprate061.ini	1	75	909	909	18	0									
Oa Kh u2	0	0	0	1000	5	17	10	10	720	Ÿ¡ø‹2	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Oa Kh u3	0	0	0	10440	5	17	10	10	1080	Ÿ¡ø‹3	ø’ ÷	1498	100	100	300;458	0;0	0	0	0	0	0	300	5	9	705	2	100										\settings\droprate\npcdroprate062.ini	1	66	676	676	18	0									
Oa Kh u4	0	0	0	9240	5	17	10	10	1080	Ÿ¡ø‹4	ø’ ÷	746	100	100	300;378	0;0	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdroprate063.ini	1	62	583	583	18	0									
Phi™n Di ßao Kh∏ch	0	0	0	1354	5	17	10	10	720	∑¨“ƒµ∂øÕ	ø’ ÷	260	100	20	75;91	0;0	5	34	12	18	3	300	6	27	701	2	100										\settings\droprate\npcdroprate064.ini	1	28	70	70	23	0									
Phi™n Di CÊ S≠	0	0	0	1000	5	17	10	10	720	∑¨“ƒπ∆ ¶	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate065.ini	1	20	100	200	36	0									
Phi™n Di Ti™u ThÒ	0	0	0	1294	5	17	10	10	720	∑¨“ƒÔ⁄ ÷	ø’ ÷	400	100	17	67;79	0;0	5	7	3	0	6	300	5	27	701	2	100										\settings\droprate\npcdroprate065.ini	1	25	60	60	46	0									
∏c B∏	0	0	0	1000	5	17	10	10	720	∂Ò∞‘	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
V‚ s‹ dﬁ tÈc	0	4	4	7274	5	17	10	10	1080	“Ï◊ÂŒ‰ ø	ø’ ÷	746	100	114	300;360	0;0	10	50	50	26	30	300	5	9	701	2	100										\settings\droprate\npcdroprate066.ini	1	62	583	583	15	0									
PhÔ thÒy dﬁ tÈc	0	0	0	1000	5	17	10	10	720	“Ï◊ÂŒ◊ ¶	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
Ti‘n thÒ dﬁ tÈc	0	1	1	9128	5	17	10	10	1080	“Ï◊Âº˝ ÷	ø’ ÷	1170	100	50	300;340	0;0	10	62	0	51	16	300	5	9	705	2	100										\settings\droprate\npcdroprate067.ini	1	60	534	534	35	0									
S∏t thÒ ngoπi tÈc	0	3	3	5904	8	17	10	10	1080	Õ‚◊Â…± ÷	ø’ ÷	774	100	150	0;0	320;398	10	57	44	29	45	300	5	9	703	2	80	615	2	20							\settings\droprate\npcdroprate068.ini	1	64	620	620	17	0									
ThuÀt s‹ ngoπi tÈc	0	0	0	1000	5	17	10	10	720	Õ‚◊Â ı ø	ø’ ÷	70	100	100	100	100					100	300	5	9	701	2	100										\settings\droprate\npcdroprate095.ini	1	20	100	200	36	0									
