20260612-000146	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20260612-000553	large_str	AddItem[/script/ksgvn/item/item_tuiquatanthu.lua|NoFunc]			0		1675513110	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	103	3132	200	-133057138	2026-06-12 00:05:53	18097404	852496047	42416428	9	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	100	3132	250	486299175	2026-06-12 00:05:53	852110516	55910173	42612907	9	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	101	3132	200	1136796276	2026-06-12 00:05:53	852176252	852630428	42482903	9	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	8	8994	300	1198624645	2026-06-12 00:05:53	55321353	42613044	55450039	9	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-¤	0	102	3190	100	1391874986	2026-06-12 00:05:53	42285817	55250683	55190022	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-T	0	102	3191	100	435531635	2026-06-12 00:05:53	42483212	55249317	55189514	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-V	0	102	3192	100	1236544176	2026-06-12 00:05:53	42613033	55250461	55190959	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-X	0	102	3193	100	1893520753	2026-06-12 00:05:53	42547833	55250135	55191439	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-B	0	102	3194	100	-1958781690	2026-06-12 00:05:53	42417733	55249938	55191187	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	V« TrÇn Bå §Ò Ch©n QuyÓ	0	107	30020	0	1708164351	2026-06-12 00:05:53	335610880	336856068	196609	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	Cöu Thiªn V« Cùc §¬n	2	1	1006	1	-2085236123	2026-06-12 00:05:53	4000593	4294904393	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		10	100	1460	2813			0		0	0	0	0	Tói Quµ Vâ L©m	2	1	50016	10	-1227557322	2026-06-12 00:05:53	3869901	4294903983	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	R­¬ng YÕu QuyÕt_S¬	2	1	50005	1	915587787	2026-06-12 00:05:53	4294904342	0	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	TuyÖt §Þa	0	105	14	15000	1942998797	2026-06-12 00:05:53	1100158976	0	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0	ThiÕu D­¬ng ThÊt Tinh K	0	105	10107	2500	1373394898	2026-06-12 00:05:53	26422693	0	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0	Long tö Ên	2	0	30002	1	1218192709	2026-06-12 00:05:53	4294903837	0	0	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0	ThÊt TÞch-ngo¹i trang ®	0	108	30029	120	-1631212438	2026-06-12 00:05:53	1115633664	1098061824	1080440832	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0	ThÊt TÞch-ngo¹i trang y	0	109	30029	120	1958364979	2026-06-12 00:05:53	1096165376	1080440832	2048	0	-1	-1	-1
20260612-000553	ItemAdd	1675513110	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0	ThÊt TÞch-ngo¹i trang k	0	110	30029	120	-1441714832	2026-06-12 00:05:53	1092231168	1090140160	1080440832	0	-1	-1	-1
20260612-000553	large_str	Pay[/script/ksgvn/item/item_tuiquatanthu.lua|NoFunc]			0		1285239560	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000553	MoneyEarn	1285239560	thuong	SdachSM	790		1	100	1460	2813			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000608	ItemConsume	ExpendIdx	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Cöu Thiªn V« Cùc §¬n	2	1	1006	1	-2085236123	2026-06-12 00:05:53	4000593	4294904393	0	0	2	4	4
20260612-000610	ItemConsume	ExpendIdx	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	R­¬ng YÕu QuyÕt_S¬	2	1	50005	1	915587787	2026-06-12 00:05:53	4294904342	0	0	0	2	1	5
20260612-000610	large_str	AddItem[/script/ksgvn/item/item_ruong_yeuquyet.lua|NoFunc]			0		2916245822	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Phôc Hæ quyÕt	2	6	21	1	1043300441	2026-06-12 00:06:10	4294917843	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Tu T©m quyÕt	2	6	22	1	-902981618	2026-06-12 00:06:10	4294916638	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Ngò ChuyÓn ChØ quyÕt	2	6	23	1	-1303098713	2026-06-12 00:06:10	4294917861	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Ph¸ Ma Chó quyÕt	2	6	24	1	-2033250060	2026-06-12 00:06:10	4294918124	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Kim Cang yÕu quyÕt	2	6	25	1	1412906814	2026-06-12 00:06:10	4294916315	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	La L«i quyÕt	2	6	26	1	2096190871	2026-06-12 00:06:10	4294916618	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Phôc Ma ThÇn quyÕt	2	6	27	1	617851193	2026-06-12 00:06:10	3677915	4294916662	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	V« T­íng quyÕt	2	6	28	1	-2070682022	2026-06-12 00:06:10	4294917031	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	S­ Tö Hèng	2	6	29	1	-685298717	2026-06-12 00:06:10	595576	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Minh Chó quyÕt	2	6	30	1	-377322779	2026-06-12 00:06:10	4294917848	0	0	0	-1	-1	-1
20260612-000610	ItemAdd	2916245822	thuong	SdachSM	790		1	100	1463	2812			0		0	0	0	0	Kim Cang ChØ quyÕt	2	6	31	1	1004778122	2026-06-12 00:06:10	602772	0	0	0	-1	-1	-1
20260612-000621	ItemAdd	IBShop	thuong	SdachSM	790		1	100	1463	2804			0		0	0	0	0	§¹i HiÖp LÖnh	2	1	50254	1	-938999261	2026-06-12 00:06:21	0	0	0	0	2	1	4
20260612-000727	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_ShowMenuHorseAndCoat]			0		3912887248	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000727	ItemAdd	3912887248	thuong	SdachSM	790		1000	100	1463	2804			0		0	0	0	0	VËt phÈm Xu	2	1	30230	1000	714192736	2026-06-12 00:07:27	4294905210	0	0	0	-1	-1	-1
20260612-000748	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_ShowMenuUpgradableItem]			0		3574353432	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000748	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1463	2804			0		0	0	0	0	ChiÕn Cuång Phæ TÕ M¹o	0	103	30147	200	647336041	2026-06-12 00:07:48	871959965	852500050	47263090	15	-1	-1	-1
20260612-000748	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1463	2804			0		0	0	0	0	ChiÕn Cuång Phæ TÕ Bµo	0	100	30147	250	-1517009570	2026-06-12 00:07:48	872488564	872422879	47131210	15	-1	-1	-1
20260612-000748	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1463	2804			0		0	0	0	0	ChiÕn Cuång Phæ TÕ Tran	0	101	30147	200	1256984119	2026-06-12 00:07:48	872485779	872814231	47262612	15	-1	-1	-1
20260612-000748	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1463	2804			0		0	0	0	0	ChiÕn Cuång ThiÒn §Þnh 	0	8	30147	300	511285188	2026-06-12 00:07:48	872488946	873076375	873793616	15	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	103	3132	200	-431213114	2026-06-12 00:08:10	18097022	852496310	42418006	15	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	100	3132	250	-364864321	2026-06-12 00:08:10	852111227	55909031	42614483	15	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	101	3132	200	942298860	2026-06-12 00:08:10	852175073	852629562	42483629	15	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng-§é ¸ch T«n G	0	8	8994	300	95293277	2026-06-12 00:08:10	55320814	42613142	55451285	15	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-¤	0	102	3190	100	1558211170	2026-06-12 00:08:10	42285420	55250569	55191257	0	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-T	0	102	3191	100	-893735285	2026-06-12 00:08:10	42482251	55249906	55191301	0	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-V	0	102	3192	100	598237608	2026-06-12 00:08:10	42613454	55249539	55189878	0	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-X	0	102	3193	100	2002512329	2026-06-12 00:08:10	42548894	55249439	55190688	0	-1	-1	-1
20260612-000810	ItemAdd	3574353432	thuong	SdachSM	790		1	100	1462	2834			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-B	0	102	3194	100	-661814722	2026-06-12 00:08:10	42417556	55249935	55189893	0	-1	-1	-1
20260612-000839	ItemAdd	Player.AddItem	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Häa KiÒu	0	119	451	100	-2091092382	2026-06-12 00:08:39	2048	2048	2048	0	-1	-1	-1
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Häa KiÒu	0	119	451	100	-2091092382	2026-06-12 00:08:39	2048	2048	2048	0	2	2	9
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Häa KiÒu	0	119	451	100	-2091092382	2026-06-12 00:08:39	2048	2048	2048	0	2	2	9
20260612-000839	ItemAdd	Player.AddItem	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Bµ Sa	0	120	451	100	1550625419	2026-06-12 00:08:39	2048	2048	2048	0	-1	-1	-1
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Bµ Sa	0	120	451	100	1550625419	2026-06-12 00:08:39	2048	2048	2048	0	2	3	9
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Bµ Sa	0	120	451	100	1550625419	2026-06-12 00:08:39	2048	2048	2048	0	2	3	9
20260612-000839	ItemAdd	Player.AddItem	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Mai A¶nh	0	121	451	100	-336917080	2026-06-12 00:08:39	2048	2048	2048	0	-1	-1	-1
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Mai A¶nh	0	121	451	100	-336917080	2026-06-12 00:08:39	2048	2048	2048	0	2	4	9
20260612-000839	ItemAdd	SellCollection	thuong	SdachSM	790		1	100	1458	2828			0		0	0	0	0	Mai A¶nh	0	121	451	100	-336917080	2026-06-12 00:08:39	2048	2048	2048	0	2	4	9
20260612-001007	ItemAdd	IBShop	thuong	SdachSM	790		1	100	1519	2885			0		0	0	0	0	Hoµng Kim §¹i Ng©n PhiÕ	2	1	30490	1	-11923867	2026-06-12 00:10:07	0	0	0	0	2	2	9
20260612-001010	ItemConsume	ExpendIdx	thuong	SdachSM	790		1	100	1519	2885			0		0	0	0	0	Hoµng Kim §¹i Ng©n PhiÕ	2	1	30490	1	-11923867	2026-06-12 00:10:07	0	0	0	0	2	2	9
20260612-001010	large_str	AddItem[/script/item/item_billing/dayinpiao.lua|NoFunc]			0		1081526215	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-001010	ItemAdd	1081526215	thuong	SdachSM	790		1000	100	1519	2885			0		0	0	0	0	VËt phÈm Xu	2	1	30230	1000	-406726533	2026-06-12 00:10:10	2048	2048	2048	0	-1	-1	-1
20260612-001142	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_ShowMenuPear]			0		1997990311	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-001142	ItemAdd	1997990311	thuong	SdachSM	790		200	100	1515	2887			0		0	0	0	0	Th­¬ng H¶i Ch©u CÊp 7 (	2	102	214	200	2126810044	2026-06-12 00:11:42	792328	4294917173	0	0	-1	-1	-1
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Vâ L©m 2 Shiina	2	1	50001	1	98598955	2026-06-12 00:05:22	4294905825	0	0	0	2	0	0
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	-360956051	2026-06-12 00:05:22	2048	2048	2048	0	2	1	0
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	635991657	2026-06-12 00:05:22	2048	2048	2048	0	2	2	0
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	NguyÖt L­îng Thè luyÖn 	2	0	1043	1	1237430346	2026-06-12 00:05:22	2048	2048	2048	0	2	3	0
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	TiÕu ng¹o giang hå lôc	2	1	30240	1	-991502189	2026-06-12 00:05:22	2048	2048	2048	0	2	4	0
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Phôc Hæ quyÕt	2	6	21	1	1043300441	2026-06-12 00:06:10	4294917843	0	0	0	2	1	1
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tµng KiÕm Tö Kim m·o	0	103	95	200	-537818292	2026-06-12 00:05:50	18095606	19010939	24062743	7	2	2	1
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Kim Lò Th­êng	0	100	95	250	1563722557	2026-06-12 00:05:50	26681735	18156500	24062139	7	2	3	1
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tµng KiÕm ¤ kim phôc	0	101	95	200	-43240510	2026-06-12 00:05:50	25503223	24388926	24062645	7	2	4	1
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	TiÓu Th­ Giíi ChØ	0	102	36	50	-718660757	2026-06-12 00:05:50	19011148	19075685	24058610	0	2	0	2
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tr­ëng L·o ChØ Hoµn	0	102	37	50	437803016	2026-06-12 00:05:50	1516332	8533361	24062575	0	2	1	2
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tµng KiÕm B¶o Ch©u	0	102	38	100	-1233795159	2026-06-12 00:05:50	6696495	5189380	5254502	0	2	2	2
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tµng KiÕm Kú Th¹ch	0	102	39	100	1420983710	2026-06-12 00:05:50	6696259	25564140	0	0	2	3	2
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tµng KiÕm Kim Ên	0	102	40	100	1417029258	2026-06-12 00:05:50	6696639	23935481	0	0	2	4	2
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Tu T©m quyÕt	2	6	22	1	-902981618	2026-06-12 00:06:10	4294916638	0	0	0	2	0	3
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Ngò ChuyÓn ChØ quyÕt	2	6	23	1	-1303098713	2026-06-12 00:06:10	4294917861	0	0	0	2	1	3
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	HiÖp ThiÕu kiÕm	0	2	14	70	0	1970-01-01 08:00:00	0	0	0	1	2	2	3
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Ph¸ Ma Chó quyÕt	2	6	24	1	-2033250060	2026-06-12 00:06:10	4294918124	0	0	0	2	3	3
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-T	0	102	3191	100	435531635	2026-06-12 00:05:53	42483212	55249317	55189514	0	2	4	3
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-¤	0	102	3190	100	1391874986	2026-06-12 00:05:53	42285817	55250683	55190022	0	2	0	4
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	§¹i HiÖp LÖnh	2	1	50254	1	-938999261	2026-06-12 00:06:21	0	0	0	0	2	1	4
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	DiÖu D­¬ng Thiªn Cung-X	0	102	3193	100	1893520753	2026-06-12 00:05:53	42547833	55250135	55191439	0	2	2	4
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Kim Cang yÕu quyÕt	2	6	25	1	1412906814	2026-06-12 00:06:10	4294916315	0	0	0	2	3	4
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	La L«i quyÕt	2	6	26	1	2096190871	2026-06-12 00:06:10	4294916618	0	0	0	2	4	4
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		10	100	1518	2868			0		0	0	0	0	Tói Quµ Vâ L©m	2	1	50016	10	-1227557322	2026-06-12 00:05:53	3869901	4294903983	0	0	2	0	5
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Phôc Ma ThÇn quyÕt	2	6	27	1	617851193	2026-06-12 00:06:10	3677915	4294916662	0	0	2	1	5
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		2000	100	1518	2868			0		0	0	0	0	VËt phÈm Xu	2	1	30230	2000	714192736	2026-06-12 00:07:27	4294905210	0	0	0	2	2	5
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	TuyÖt §Þa	0	105	14	15000	1942998797	2026-06-12 00:05:53	1100158976	0	0	0	2	3	5
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Long tö Ên	2	0	30002	1	1218192709	2026-06-12 00:05:53	4294903837	0	0	0	2	4	5
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	V« T­íng quyÕt	2	6	28	1	-2070682022	2026-06-12 00:06:10	4294917031	0	0	0	2	0	6
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	S­ Tö Hèng	2	6	29	1	-685298717	2026-06-12 00:06:10	595576	0	0	0	2	1	6
20260612-001200	ItemConsume	ClearItemInPos	thuong	SdachSM	790		1	100	1518	2868			0		0	0	0	0	Minh Chó quyÕt	2	6	30	1	-377322779	2026-06-12 00:06:10	4294917848	0	0	0	2	2	6
