ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
63	B¸o tö	0;105;30030	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
64	B¸o tö	0;105;30045	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
65	B¸o tö	0;105;30046	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
66	B¸o tö	0;105;30047	7	1;1;1	50			10	0.3	0;40	®øng yªn b×nh th­êng	150
67	Thá	0;105;30038	7	1;1;1	50			11	0.3	0;40	®øng yªn b×nh th­êng	500
68	Thá	0;105;30039	7	1;1;1	50			11	0.3	0;40	®øng yªn b×nh th­êng	500
69	Thá	0;105;30040	7	1;1;1	50			11	0.3	0;40	®øng yªn b×nh th­êng	500
70	Thá	0;105;30050	7	1;1;1	50			11	0.3	0;40	®øng yªn b×nh th­êng	300
71	T­îng	0;105;30033	7	1;1;1	50			12	0.3	0;40	®øng yªn b×nh th­êng	500
72	L¹c §µ	0;105;148	7	1;1;1	50			13	0.3	0;40	®øng yªn b×nh th­êng	500
73	L¹c §µ	0;105;149	7	1;1;1	50			13	0.3	0;40	®øng yªn b×nh th­êng	500
74	Hå Li	0;105;164	7	1;1;1	50			14	0.3	0;40	®øng yªn b×nh th­êng	200
75	Hå Li	0;105;160	7	1;1;1	50			14	0.3	0;40	®øng yªn b×nh th­êng	300
76	Hå Li	0;105;161	7	1;1;1	50			14	0.3	0;40	®øng yªn b×nh th­êng	500
77	Tuan Loc	0;105;35	7	1;1;1	50			15	0.3	0;40	®øng yªn b×nh th­êng	300
78	Tuan Loc	0;105;10120	7	1;1;1	50			15	0.3	0;40	®øng yªn b×nh th­êng	300
79	Tuan Loc	0;105;10122	7	1;1;1	50			15	0.3	0;40	®øng yªn b×nh th­êng	300
80	Xe TuÇn Léc	0;105;30041	7	1;1;1	100			16	0.3	0;40	®øng yªn b×nh th­êng	2000
81	Ngù KiÕm	0;105;10107	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
82	Ngù KiÕm	0;105;10108	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
83	Ngù KiÕm	0;105;10109	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
84	Ngù KiÕm	0;105;10110	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
85	Ngù KiÕm	0;105;10111	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
86	Ngù KiÕm	0;105;10112	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
87	Ngù KiÕm	0;105;181	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
88	Hoa sen	0;105;30051	7	1;1;1	100			18	0.3	0;40	®øng yªn b×nh th­êng	2500
89	Hoa sen	0;105;30057	7	1;1;1	100			18	0.3	0;40	®øng yªn b×nh th­êng	2500
90	ChiÕn Xa TÇn Thñy Hoµng	0;105;30052	7	1;1;1	100			19	0.3	0;40	®øng yªn b×nh th­êng	2500
91	Dragon Horse	0;105;30056	7	1;1;1	100			20	0.3	0;40	®øng yªn b×nh th­êng	2500
92	B¹ch Tr¹ch Linh Thó	0;105;190	7	1;1;1	50			21	0.3	0;40	®øng yªn b×nh th­êng	400
93	ChiÕn Xa TÇn Thñy Hoµng	0;105;183	7	1;1;1	50			19	0.1	0;40	®øng yªn b×nh th­êng	2000
94	Hoa sen	0;105;30058	7	1;1;1	100			18	0.3	0;40	®øng yªn b×nh th­êng	2500
95	Hoa sen	0;105;30059	7	1;1;1	100			18	0.3	0;40	®øng yªn b×nh th­êng	2500
96	Ngù KiÕm	0;105;182	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
97	Xe TuÇn Léc	0;105;30042	7	1;1;1	100			16	0.1	0;40	®øng yªn b×nh th­êng	2500
98	Toan Nghª	0;105;199	7	1;1;1	100			22	0.5	0;40	®øng yªn b×nh th­êng	500
99	GÊu MÌo	0;105;150	7	1;1;1	100			23	0.5	0;40	®øng yªn b×nh th­êng	500
100	Lõa Nhá	0;105;154	7	1;1;1	100			24	0.2	0;40	®øng yªn b×nh th­êng	1000
101	Kú Thó (§Ñp)	0;105;30100	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
102	Kú Thó (§Ñp)	0;105;30101	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
103	Kú Thó (§Ñp)	0;105;30102	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
104	Kú Thó (§Ñp)	0;105;30103	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
105	Kú Thó (§Ñp)	0;105;30104	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
106	Tr©u (§Ñp)	0;105;30105	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
107	Tr©u (§Ñp)	0;105;30106	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
108	Tr©u (§Ñp)	0;105;30107	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
109	Hæ (§Ñp)	0;105;30108	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
110	Hæ (§Ñp)	0;105;30109	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
111	Hæ (§Ñp)	0;105;30110	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
112	B¸o (§Ñp)	0;105;30111	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
113	B¸o (§Ñp)	0;105;30112	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
114	B¸o (§Ñp)	0;105;30113	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
115	Ngùa (§Ñp)	0;105;30114	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
116	Ngùa (§Ñp)	0;105;30115	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
117	Kú Thó (§Ñp)	0;105;30116	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
118	Kú Thó (§Ñp)	0;105;30117	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
119	Kú Thó (§Ñp)	0;105;30118	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
120	Kú Thó (§Ñp)	0;105;30119	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
121	Kú Thó (§Ñp)	0;105;30120	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
122	Tr©u (§Ñp)	0;105;30121	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
123	Tr©u (§Ñp)	0;105;30122	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
124	Tr©u (§Ñp)	0;105;30123	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
125	Hæ (§Ñp)	0;105;30124	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
126	Hæ (§Ñp)	0;105;30125	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
127	Hæ (§Ñp)	0;105;30126	7	1;1;1	100			35	0.3	0;40	®øng yªn b×nh th­êng	2500
128	B¸o (§Ñp)	0;105;30127	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
129	B¸o (§Ñp)	0;105;30128	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
130	B¸o (§Ñp)	0;105;30129	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
131	Ngùa (§Ñp)	0;105;30130	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
132	Ngùa (§Ñp)	0;105;30131	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
133	Kú Thó (§Ñp)	0;105;30132	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
134	Thá (§Ñp)	0;105;30133	7	1;1;1	100			38	0.3	0;40	®øng yªn b×nh th­êng	2500
135	Thá (§Ñp)	0;105;30134	7	1;1;1	100			38	0.3	0;40	®øng yªn b×nh th­êng	2500
136	Thá (§Ñp)	0;105;30135	7	1;1;1	100			38	0.3	0;40	®øng yªn b×nh th­êng	2500
137	Xe TuyÕt (§Ñp)	0;105;30136	7	1;1;1	100			39	0.1	0;40	®øng yªn b×nh th­êng	2500
138	Xe TuyÕt (§Ñp)	0;105;30137	7	1;1;1	100			39	0.1	0;40	®øng yªn b×nh th­êng	2500
139	Xe TuyÕt (§Ñp)	0;105;30138	7	1;1;1	100			39	0.1	0;40	®øng yªn b×nh th­êng	2500
140	Kú Thó (§Ñp)	0;105;30139	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
141	B¸o (§Ñp)	0;105;30140	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
142	B¸o (§Ñp)	0;105;30141	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
143	B¸o (§Ñp)	0;105;30142	7	1;1;1	100			36	0.3	0;40	®øng yªn b×nh th­êng	2500
144	Hoa Sen (Hoa LÖ)	0;105;30143	7	1;1;1	100			29	0.3	0;40	®øng yªn b×nh th­êng	2500
145	ChiÕn Xa (Hoa LÖ)	0;105;30144	7	1;1;1	100			30	0.3	0;40	®øng yªn b×nh th­êng	2500
146	DiÒu Bay-Rùc Rì	0;105;30145	7	1;1;1	100			31	0.3	0;40	®øng yªn b×nh th­êng	2500
147	S¬n D­¬ng (§Ñp)	0;105;30146	7	1;1;1	100			40	0.3	0;40	®øng yªn b×nh th­êng	2500
148	S¬n D­¬ng (§Ñp)	0;105;30147	7	1;1;1	100			40	0.3	0;40	®øng yªn b×nh th­êng	2500
149	Ngùa (§Ñp)	0;105;30148	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
150	Hoa Sen (Hoa LÖ)	0;105;30149	7	1;1;1	100			29	0.3	0;40	®øng yªn b×nh th­êng	2500
151	Hoa Sen (Hoa LÖ)	0;105;30150	7	1;1;1	100			29	0.3	0;40	®øng yªn b×nh th­êng	2500
152	Hoa Sen (Hoa LÖ)	0;105;30151	7	1;1;1	100			29	0.3	0;40	®øng yªn b×nh th­êng	2500
153	Thá (§Ñp)	0;105;30152	7	1;1;1	100			38	0.3	0;40	®øng yªn b×nh th­êng	2500
154	Thá (§Ñp)	0;105;30153	7	1;1;1	100			38	0.3	0;40	®øng yªn b×nh th­êng	2500
155	Xe TuyÕt (§Ñp)	0;105;30154	7	1;1;1	100			39	0.3	0;40	®øng yªn b×nh th­êng	2500
156	Tr©u (§Ñp)	0;105;30155	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
157	Kú Thó (§Ñp)	0;105;30156	7	1;1;1	100			33	0.3	0;40	®øng yªn b×nh th­êng	2500
158	L¹c §µ (§Ñp)	0;105;30157	7	1;1;1	100			41	0.3	0;40	®øng yªn b×nh th­êng	2500
159	L¹c §µ (§Ñp)	0;105;30158	7	1;1;1	100			41	0.3	0;40	®øng yªn b×nh th­êng	2500
160	GÊu MÌo (§Ñp)	0;105;30159	7	1;1;1	100			42	0.5	0;40	®øng yªn b×nh th­êng	2500
161	Lõa (§Ñp)	0;105;30160	7	1;1;1	100			43	0.2	0;40	®øng yªn b×nh th­êng	2500
162	Lõa (§Ñp)	0;105;30161	7	1;1;1	100			43	0.2	0;40	®øng yªn b×nh th­êng	2500
163	Lõa (§Ñp)	0;105;30162	7	1;1;1	100			43	0.2	0;40	®øng yªn b×nh th­êng	2500
164	Lõa (§Ñp)	0;105;30163	7	1;1;1	100			43	0.2	0;40	®øng yªn b×nh th­êng	2500
165	Hå Ly (§Ñp)	0;105;30164	7	1;1;1	100			44	0.3	0;40	®øng yªn b×nh th­êng	2500
166	Xe TuyÕt (§Ñp)	0;105;30165	7	1;1;1	100			39	0.3	0;40	®øng yªn b×nh th­êng	2500
167	Xe TuyÕt (§Ñp)	0;105;30166	7	1;1;1	100			39	0.3	0;40	®øng yªn b×nh th­êng	2500
168	Xe TuyÕt (§Ñp)	0;105;30167	7	1;1;1	100			39	0.3	0;40	®øng yªn b×nh th­êng	2500
169	Xe TuyÕt (§Ñp)	0;105;30168	7	1;1;1	100			39	0.3	0;40	®øng yªn b×nh th­êng	2500
170	S¬n D­¬ng (§Ñp)	0;105;30169	7	1;1;1	100			40	0.3	0;40	®øng yªn b×nh th­êng	2500
171	L¹c §µ (§Ñp)	0;105;30170	7	1;1;1	100			45	0.3	0;40	®øng yªn b×nh th­êng	2500
172	L¹c §µ (§Ñp)	0;105;30171	7	1;1;1	100			45	0.3	0;40	®øng yªn b×nh th­êng	2500
173	L¹c §µ (§Ñp)	0;105;30172	7	1;1;1	100			45	0.3	0;40	®øng yªn b×nh th­êng	2500
174	L¹c §µ (§Ñp)	0;105;30173	7	1;1;1	100			45	0.3	0;40	®øng yªn b×nh th­êng	2500
175	GÊu (§Ñp)	0;105;30174	7	1;1;1	100			46	0.3	0;40	®øng yªn b×nh th­êng	2500
176	GÊu (§Ñp)	0;105;30175	7	1;1;1	100			46	0.3	0;40	®øng yªn b×nh th­êng	2500
177	GÊu (§Ñp)	0;105;30176	7	1;1;1	100			46	0.3	0;40	®øng yªn b×nh th­êng	2500
178	Phi KiÕm (Hoa LÖ)	0;105;30177	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
179	Phi KiÕm (Hoa LÖ)	0;105;30178	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
180	Ngùa (§Ñp)	0;105;30179	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
181	Sãi (§Ñp)	0;105;30180	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	2500
182	Sãi (§Ñp)	0;105;30181	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	2500
183	Sãi (§Ñp)	0;105;30182	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	2500
184	Sãi (§Ñp)	0;105;30183	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	2500
185	Sãi (§Ñp)	0;105;30184	7	1;1;1	100			47	0.3	0;40	®øng yªn b×nh th­êng	2500
186	Sãi (§Ñp)	0;105;30185	7	1;1;1	100			47	0.3	0;40	®øng yªn b×nh th­êng	2500
187	Sãi (§Ñp)	0;105;30186	7	1;1;1	100			47	0.3	0;40	®øng yªn b×nh th­êng	2500
188	Tr©u (§Ñp)	0;105;30187	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	2500
189	Phi KiÕm (Hoa LÖ)	0;105;30188	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
190	Phi KiÕm (Hoa LÖ)	0;105;30189	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
191	Spirit Beast	0;105;206	7	1;1;1	100			7	0.3	0;40	®øng yªn b×nh th­êng	2500
192	Ngù KiÕm	0;105;209	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
193	Toan Nghª	0;105;201	7	1;1;1	100			22	0.5	0;40	®øng yªn b×nh th­êng	500
194	Phi KiÕm (Hoa LÖ)	0;105;30191	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
195	Phi KiÕm (Hoa LÖ)	0;105;30192	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
196	Phi KiÕm (Hoa LÖ)	0;105;30193	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
197	Phi KiÕm (Hoa LÖ)	0;105;30194	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
198	Phi KiÕm (Hoa LÖ)	0;105;30195	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
199	Phi KiÕm (Hoa LÖ)	0;105;30196	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
200	Kú Thó	0;105;210	7	1;1;1	100			25	0.3	0;40	®øng yªn b×nh th­êng	2500
201	Tiªn H¹c	0;105;192	7	1;1;1	100			27	0.3	0;40	®øng yªn b×nh th­êng	2500
202	Tiªn H¹c	0;105;193	7	1;1;1	100			27	0.3	0;40	®øng yªn b×nh th­êng	2500
203	Tiªn H¹c	0;105;194	7	1;1;1	100			27	0.3	0;40	®øng yªn b×nh th­êng	2500
204	Tiªn H¹c	0;105;195	7	1;1;1	100			27	0.3	0;40	®øng yªn b×nh th­êng	2500
205	Kú Thó	0;105;198	7	1;1;1	100			25	0.3	0;40	®øng yªn b×nh th­êng	2500
206	Phi KiÕm (Hoa LÖ)	0;105;30196	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
207	Tiªn H¹c (§Ñp)	0;105;30197	7	1;1;1	100			50	0.3	0;40	®øng yªn b×nh th­êng	2500
208	Tiªn H¹c (§Ñp)	0;105;30198	7	1;1;1	100			50	0.3	0;40	®øng yªn b×nh th­êng	2500
209	Tiªn H¹c (§Ñp)	0;105;30199	7	1;1;1	100			50	0.3	0;40	®øng yªn b×nh th­êng	2500
210	Tiªn H¹c (§Ñp)	0;105;30200	7	1;1;1	100			50	0.3	0;40	®øng yªn b×nh th­êng	2500
211	UyÓn C©u Ký TuÊn	0;105;110	7	1;1;1	100			2	0.3	0;40	®øng yªn b×nh th­êng	500
212	Ngùa (§Ñp)	0;105;30201	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
213	Spirit Beast	0;105;184	7	1;1;1	100			7	0.3	0;40	®øng yªn b×nh th­êng	200
214	UyÓn C©u Ký TuÊn	0;105;30015	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	200
215	Ngù KiÕm	0;105;180	7	1;1;1	100			17	0.3	0;40	®øng yªn b×nh th­êng	2500
216	Phi KiÕm (Hoa LÖ)	0;105;30202	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
217	Sãi (§Ñp)	0;105;30203	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	500
218	UyÓn C©u Ký TuÊn	0;105;117	7	1;1;1	100			2	0.3	0;40	®øng yªn b×nh th­êng	500
219	Ngùa (§Ñp)	0;105;30204	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
220	Toan Nghª	0;105;203	7	1;1;1	100			22	0.5	0;40	®øng yªn b×nh th­êng	500
221	Sãi (§Ñp)	0;105;30183	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	2500
222	Toan Nghª	0;105;202	7	1;1;1	100			22	0.5	0;40	®øng yªn b×nh th­êng	2000
223	Sãi (§Ñp)	0;105;30182	7	1;1;1	100			47	0.5	0;40	®øng yªn b×nh th­êng	4000
224	Spirit Beast	0;105;207	7	1;1;1	100			7	0.3	0;40	®øng yªn b×nh th­êng	2000
225	Tr©u (§Ñp)	0;105;30187	7	1;1;1	100			34	0.3	0;40	®øng yªn b×nh th­êng	4000
226	Phi KiÕm (Hoa LÖ)	0;105;30205	7	1;1;1	100			32	0.3	0;40	®øng yªn b×nh th­êng	2500
227	UyÓn C©u Ký TuÊn	0;105;119	7	1;1;1	100			2	0.3	0;40	®øng yªn b×nh th­êng	500
228	Ngùa (§Ñp)	0;105;30206	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
229	B¹ch Tr¹ch Linh Thó	0;105;188	7	1;1;1	50			21	0.3	0;40	®øng yªn b×nh th­êng	400
230	Hå Li	0;105;163	7	1;1;1	50			14	0.3	0;40	®øng yªn b×nh th­êng	2000
231	UyÓn C©u Ký TuÊn	0;105;114	7	1;1;1	10			2	0.3	0;40	®øng yªn b×nh th­êng	1000
232	Hå Ly (§Ñp)	0;105;30207	7	1;1;1	100			44	0.3	0;40	®øng yªn b×nh th­êng	2500
233	Ngùa (§Ñp)	0;105;30208	7	1;1;1	100			37	0.3	0;40	®øng yªn b×nh th­êng	2500
234	Spirit Beast	0;105;185	7	1;1;1	100			7	0.3	0;40	®øng yªn b×nh th­êng	200
235	L¹c §µ (§Ñp)	0;105;30171	7	1;1;1	100			45	0.3	0;40	®øng yªn b×nh th­êng	2500
