Index	Level	Genre	Detail	Particular	Text			
1106	50	0	101	854	Quan ¢m D­¬ng Trang			
1107	70	0	101	874	Guanyin Saber, attire			
1108	50	0	103	853	Quan ¢m D­¬ng Qu¸n			
1109	70	0	103	873	Guanyin Saber, headgear			
1110	50	0	103	854	Quan ¢m D­¬ng Qu¸n			
1111	70	0	103	874	Guanyin Saber, headgear			
1112	50	0	100	853	Quan ¢m D­¬ng Th­êng			
1113	70	0	100	873	Guanyin Saber, common			
1114	50	0	100	854	Quan ¢m D­¬ng Th­êng			
1115	70	0	100	874	Guanyin Saber, common			
1116	50	0	102	853	Quan ¢m D­¬ng Béi			
1117	70	0	102	873	Guanyin Saber, belt			
1118	50	0	102	854	Quan ¢m D­¬ng Béi			
1119	70	0	102	874	Guanyin Saber, belt			
1120	50	0	2	853	Quan ¢m D­¬ng KiÕm			
1121	70	0	2	873	Quan ¢m Dao KiÕm			
1122	50	0	2	854	Quan ¢m D­¬ng KiÕm			
1123	70	0	2	874	Quan ¢m Dao KiÕm			
1124	50	0	101	953	Ngäc N÷ D­¬ng  Trang			
1125	70	0	101	973	Ngäc N÷ Dao Trang			
1126	50	0	101	954	Ngäc N÷ D­¬ng  Trang			
1127	70	0	101	974	Ngäc N÷ Dao Trang			
1128	50	0	103	953	Ngäc N÷ D­¬ng  Qu¸n			
1129	70	0	103	973	Ngäc N÷ Dao Qu¸n			
1130	50	0	103	954	Ngäc N÷ D­¬ng  Qu¸n			
1131	70	0	103	974	Ngäc N÷ Dao Qu¸n			
1132	50	0	100	953	Ngäc N÷ D­¬ng  Th­êng			
1133	70	0	100	973	Ngäc N÷ Dao Th­êng			
1134	50	0	100	954	Ngäc N÷ D­¬ng  Th­êng			
1135	70	0	100	974	Ngäc N÷ Dao Th­êng			
1136	50	0	102	953	Ngäc N÷ D­¬ng  Béi			
1137	70	0	102	973	Ngäc N÷ Dao Béi			
1138	50	0	102	954	Ngäc N÷ D­¬ng  Béi			
1139	70	0	102	974	Ngäc N÷ Dao Béi			
1140	50	0	10	953	Ngäc N÷ D­¬ng  CÇm			
1141	70	0	10	973	Ngäc N÷ Dao CÇm			
1142	50	0	10	954	Ngäc N÷ D­¬ng  CÇm			
1143	70	0	10	974	Ngäc N÷ Dao CÇm			
1144	50	0	101	1151	Gi¸ng Long D­¬ng Trang			
1145	70	0	101	1171	Subduing Dragon Saber, attire			
1146	50	0	101	1152	Gi¸ng Long D­¬ng Trang			
1147	70	0	101	1172	Subduing Dragon Saber, attire			
1148	50	0	101	1153	Gi¸ng Long D­¬ng Trang			
1149	70	0	101	1173	Subduing Dragon Saber, attire			
1150	50	0	101	1154	Gi¸ng Long D­¬ng Trang			
1151	70	0	101	1174	Subduing Dragon Saber, attire			
1152	50	0	103	1151	Gi¸ng Long D­¬ng Qu¸n			
1153	70	0	103	1171	Subduing Dragon Saber, headgear			
1154	50	0	103	1152	Gi¸ng Long D­¬ng Qu¸n			
1155	70	0	103	1172	Subduing Dragon Saber, headgear			
1156	50	0	103	1153	Gi¸ng Long D­¬ng Qu¸n			
1157	70	0	103	1173	Subduing Dragon Saber, headgear			
1158	50	0	103	1154	Gi¸ng Long D­¬ng Qu¸n			
1159	70	0	103	1174	Subduing Dragon Saber, headgear			
1160	50	0	100	1151	Gi¸ng Long D­¬ng Th­êng			
1161	70	0	100	1171	Subduing Dragon Saber, common			
1162	50	0	100	1152	Gi¸ng Long D­¬ng Th­êng			
1163	70	0	100	1172	Subduing Dragon Saber, common			
1164	50	0	100	1153	Gi¸ng Long D­¬ng Th­êng			
1165	70	0	100	1173	Subduing Dragon Saber, common			
1166	50	0	100	1154	Gi¸ng Long D­¬ng Th­êng			
1167	70	0	100	1174	Subduing Dragon Saber, common			
1168	50	0	102	1151	Gi¸ng Long D­¬ng Béi			
1169	70	0	102	1171	Subduing Dragon Saber, belt			
1170	50	0	102	1152	Gi¸ng Long D­¬ng Béi			
1171	70	0	102	1172	Subduing Dragon Saber, belt			
1172	50	0	102	1153	Gi¸ng Long D­¬ng Béi			
1173	70	0	102	1173	Subduing Dragon Saber, belt			
1174	50	0	102	1154	Gi¸ng Long D­¬ng Béi			
1175	70	0	102	1174	Subduing Dragon Saber, belt			
1176	50	0	0	1151	Gi¸ng Long D­¬ng Thñ			
1177	70	0	0	1171	Gi¸ng Long Dao Thñ			
1178	50	0	0	1152	Gi¸ng Long D­¬ng Thñ			
1179	70	0	0	1172	Gi¸ng Long Dao Thñ			
1180	50	0	0	1153	Gi¸ng Long D­¬ng Thñ			
1181	70	0	0	1173	Gi¸ng Long Dao Thñ			
1182	50	0	0	1154	Gi¸ng Long D­¬ng Thñ			
1183	70	0	0	1174	Gi¸ng Long Dao Thñ			
1184	50	0	101	1251	Phong Ma D­¬ng Trang			
1185	70	0	101	1271	Phong Ma Dao Trang			
1186	50	0	101	1252	Phong Ma D­¬ng Trang			
1187	70	0	101	1272	Phong Ma Dao Trang			
1188	50	0	101	1253	Phong Ma D­¬ng Trang			
1189	70	0	101	1273	Phong Ma Dao Trang			
1190	50	0	101	1254	Phong Ma D­¬ng Trang			
1191	70	0	101	1274	Phong Ma Dao Trang			
1192	50	0	103	1251	Phong Ma D­¬ng Qu¸n			
1193	70	0	103	1271	Wind Demon Saber, headgear			
1194	50	0	103	1252	Phong Ma D­¬ng Qu¸n			
1195	70	0	103	1272	Wind Demon Saber, headgear			
1196	50	0	103	1253	Phong Ma D­¬ng Qu¸n			
1197	70	0	103	1273	Wind Demon Saber, headgear			
1198	50	0	103	1254	Phong Ma D­¬ng Qu¸n			
1199	70	0	103	1274	Wind Demon Saber, headgear			
1200	50	0	100	1251	Phong Ma D­¬ng Th­êng			
1201	70	0	100	1271	Wind Demon Saber, common			
1202	50	0	100	1252	Phong Ma D­¬ng Th­êng			
1203	70	0	100	1272	Wind Demon Saber, common			
1204	50	0	100	1253	Phong Ma D­¬ng Th­êng			
1205	70	0	100	1273	Wind Demon Saber, common			
1206	50	0	100	1254	Phong Ma D­¬ng Th­êng			
1207	70	0	100	1274	Wind Demon Saber, common			
1208	50	0	102	1251	Phong Ma D­¬ng Béi			
1209	70	0	102	1271	Wind Demon Saber, belt			
1210	50	0	102	1252	Phong Ma D­¬ng Béi			
1211	70	0	102	1272	Wind Demon Saber, belt			
1212	50	0	102	1253	Phong Ma D­¬ng Béi			
1213	70	0	102	1273	Wind Demon Saber, belt			
1214	50	0	102	1254	Phong Ma D­¬ng Béi			
1215	70	0	102	1274	Wind Demon Saber, belt			
1216	50	0	5	1251	Phong Ma D­¬ng C«n			
1217	70	0	5	1271	Phong Ma Dao C«n			
1218	50	0	5	1252	Phong Ma D­¬ng C«n			
1219	70	0	5	1272	Phong Ma Dao C«n			
1220	50	0	5	1253	Phong Ma D­¬ng C«n			
1221	70	0	5	1273	Phong Ma Dao C«n			
1222	50	0	5	1254	Phong Ma D­¬ng C«n			
1223	70	0	5	1274	Phong Ma Dao C«n			
1224	50	0	101	1451	Ch©n Vò D­¬ng Trang			
1225	70	0	101	1471	True Martial Saber, attire			
1226	50	0	101	1452	Ch©n Vò D­¬ng Trang			
1227	70	0	101	1472	True Martial Saber, attire			
1228	50	0	101	1453	Ch©n Vò D­¬ng Trang			
1229	70	0	101	1473	True Martial Saber, attire			
1230	50	0	101	1454	Ch©n Vò D­¬ng Trang			
1231	70	0	101	1474	True Martial Saber, attire			
1232	50	0	103	1451	Ch©n Vò D­¬ng Qu¸n			
1233	70	0	103	1471	True Martial Saber, headgear			
1234	50	0	103	1452	Ch©n Vò D­¬ng Qu¸n			
1235	70	0	103	1472	True Martial Saber, headgear			
1236	50	0	103	1453	Ch©n Vò D­¬ng Qu¸n			
1237	70	0	103	1473	True Martial Saber, headgear			
1238	50	0	103	1454	Ch©n Vò D­¬ng Qu¸n			
1239	70	0	103	1474	True Martial Saber, headgear			
1240	50	0	100	1451	Ch©n Vò D­¬ng Th­êng			
1241	70	0	100	1471	True Martial Saber, common			
1242	50	0	100	1452	Ch©n Vò D­¬ng Th­êng			
1243	70	0	100	1472	True Martial Saber, common			
1244	50	0	100	1453	Ch©n Vò D­¬ng Th­êng			
1245	70	0	100	1473	True Martial Saber, common			
1246	50	0	100	1454	Ch©n Vò D­¬ng Th­êng			
1247	70	0	100	1474	True Martial Saber, common			
1248	50	0	102	1451	Ch©n Vò D­¬ng Béi			
1249	70	0	102	1471	True Martial Saber, belt			
1250	50	0	102	1452	Ch©n Vò D­¬ng Béi			
1251	70	0	102	1472	True Martial Saber, belt			
1252	50	0	102	1453	Ch©n Vò D­¬ng Béi			
1253	70	0	102	1473	True Martial Saber, belt			
1254	50	0	102	1454	Ch©n Vò D­¬ng Béi			
1255	70	0	102	1474	True Martial Saber, belt			
1256	50	0	2	1451	Ch©n Vò D­¬ng KiÕm			
1257	70	0	2	1471	Ch©n Vò Dao KiÕm			
1258	50	0	2	1452	Ch©n Vò D­¬ng KiÕm			
1259	70	0	2	1472	Ch©n Vò Dao KiÕm			
1260	50	0	2	1453	Ch©n Vò D­¬ng KiÕm			
1261	70	0	2	1473	Ch©n Vò Dao KiÕm			
1262	50	0	2	1454	Ch©n Vò D­¬ng KiÕm			
1263	70	0	2	1474	Ch©n Vò Dao KiÕm			
1264	50	0	101	1551	NhÊt D­¬ng Trang			
1265	70	0	101	1571	NhÊt D­¬ng Dao Trang			
1266	50	0	101	1552	NhÊt D­¬ng Trang			
1267	70	0	101	1572	NhÊt D­¬ng Dao Trang			
1268	50	0	101	1553	NhÊt D­¬ng Trang			
1269	70	0	101	1573	NhÊt D­¬ng Dao Trang			
1270	50	0	101	1554	NhÊt D­¬ng Trang			
1271	70	0	101	1574	NhÊt D­¬ng Dao Trang			
1272	50	0	103	1551	NhÊt D­¬ng Qu¸n			
1273	70	0	103	1571	NhÊt D­¬ng Dao Qu¸n			
1274	50	0	103	1552	NhÊt D­¬ng Qu¸n			
1275	70	0	103	1572	NhÊt D­¬ng Dao Qu¸n			
1276	50	0	103	1553	NhÊt D­¬ng Qu¸n			
1277	70	0	103	1573	NhÊt D­¬ng Dao Qu¸n			
1278	50	0	103	1554	NhÊt D­¬ng Qu¸n			
1279	70	0	103	1574	NhÊt D­¬ng Dao Qu¸n			
1280	50	0	100	1551	NhÊt D­¬ng Th­êng			
1281	70	0	100	1571	NhÊt D­¬ng Dao Th­êng			
1282	50	0	100	1552	NhÊt D­¬ng Th­êng			
1283	70	0	100	1572	NhÊt D­¬ng Dao Th­êng			
1284	50	0	100	1553	NhÊt D­¬ng Th­êng			
1285	70	0	100	1573	NhÊt D­¬ng Dao Th­êng			
1286	50	0	100	1554	NhÊt D­¬ng Th­êng			
1287	70	0	100	1574	NhÊt D­¬ng Dao Th­êng			
1288	50	0	102	1551	NhÊt D­¬ng Béi			
1289	70	0	102	1571	NhÊt D­¬ng Dao Béi			
1290	50	0	102	1552	NhÊt D­¬ng Béi			
1291	70	0	102	1572	NhÊt D­¬ng Dao Béi			
1292	50	0	102	1553	NhÊt D­¬ng Béi			
1293	70	0	102	1573	NhÊt D­¬ng Dao Béi			
1294	50	0	102	1554	NhÊt D­¬ng Béi			
1295	70	0	102	1574	NhÊt D­¬ng Dao Béi			
1296	50	0	9	1551	NhÊt D­¬ng Bót			
1297	70	0	9	1571	NhÊt D­¬ng Dao Bót			
1298	50	0	9	1552	NhÊt D­¬ng Bót			
1299	70	0	9	1572	NhÊt D­¬ng Dao Bót			
1300	50	0	9	1553	NhÊt D­¬ng Bót			
1301	70	0	9	1573	NhÊt D­¬ng Dao Bót			
1302	50	0	9	1554	NhÊt D­¬ng Bót			
1303	70	0	9	1574	NhÊt D­¬ng Dao Bót			
